Description,City,State,Airline,lat,lon
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Fort Lauderdale,FL,Fort Lauderdale-Hollywood International,26.0742344,-80.1506022
"Deadhorse, AK: Deadhorse Airport",Deadhorse,AK,Deadhorse Airport,70.1971592,-148.4610843
"San Francisco, CA: San Francisco International",San Francisco,CA,San Francisco International,37.6213129,-122.3789554
"San Angelo, TX: San Angelo Regional/Mathis Field",San Angelo,TX,San Angelo Regional/Mathis Field,31.3572911,-100.5031694
"Adak Island, AK: Adak",Adak Island,AK,Adak,51.88,-176.6580556
"Palm Springs, CA: Palm Springs International",Palm Springs,CA,Palm Springs International,33.8303194,-116.5070468
"Bend/Redmond, OR: Roberts Field",Bend/Redmond,OR,Roberts Field,44.2539448,-121.1505531
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Cincinnati,OH,Cincinnati/Northern Kentucky International,39.0532746,-84.6630165
"Kodiak, AK: Kodiak Airport",Kodiak,AK,Kodiak Airport,57.7543782,-152.51473
"Memphis, TN: Memphis International",Memphis,TN,Memphis International,35.0420679,-89.9791729
"Bloomington/Normal, IL: Central Illinois Regional",Bloomington/Normal,IL,Central Illinois Regional,40.4829137,-88.914102
"Springfield, MO: Springfield-Branson National",Springfield,MO,Springfield-Branson National,37.238077,-93.397096
"Mosinee, WI: Central Wisconsin",Mosinee,WI,Central Wisconsin,,
"Nashville, TN: Nashville International",Nashville,TN,Nashville International,36.126317,-86.6773713
"St. Louis, MO: Lambert-St. Louis International",St. Louis,MO,Lambert-St. Louis International,38.7431329,-90.3650945
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Mission/McAllen/Edinburg,TX,McAllen Miller International,26.1807841,-98.2398433
"Alexandria, LA: Alexandria International",Alexandria,LA,Alexandria International,31.3267812,-92.5472399
"St. George, UT: St George Regional",St. George,UT,St George Regional,37.0307872,-113.5089552
"Miami, FL: Miami International",Miami,FL,Miami International,25.795865,-80.2870457
"Medford, OR: Rogue Valley International - Medford",Medford,OR,Rogue Valley International - Medford,42.3684191,-122.8740066
"Kona, HI: Kona International Airport at Keahole",Kona,HI,Kona International Airport at Keahole,,
"Boise, ID: Boise Air Terminal",Boise,ID,Boise Air Terminal,43.5658231,-116.222316
"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",Hyannis,MA,Barnstable Municipal-Boardman/Polando Field,41.6673379,-70.2847445
"Bristol/Johnson City/Kingsport, TN: Tri-Cities Regional TN/VA",Bristol/Johnson City/Kingsport,TN,Tri-Cities Regional TN/VA,36.48111,-82.40785
"Montgomery, AL: Montgomery Regional",Montgomery,AL,Montgomery Regional,,
"Shreveport, LA: Shreveport Regional",Shreveport,LA,Shreveport Regional,32.4544911,-93.8286552
"Hays, KS: Hays Regional",Hays,KS,Hays Regional,38.842222,-99.273167
"Augusta, GA: Augusta Regional at Bush Field",Augusta,GA,Augusta Regional at Bush Field,,
"Boston, MA: Logan International",Boston,MA,Logan International,42.3656132,-71.0095602
"Rapid City, SD: Rapid City Regional",Rapid City,SD,Rapid City Regional,,
"Brownsville, TX: Brownsville South Padre Island International",Brownsville,TX,Brownsville South Padre Island International,25.9064396,-97.4317439
"Oakland, CA: Metropolitan Oakland International",Oakland,CA,Metropolitan Oakland International,37.7125689,-122.2197428
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Beaumont/Port Arthur,TX,Jack Brooks Regional,29.955847,-94.0220743
"Niagara Falls, NY: Niagara Falls International",Niagara Falls,NY,Niagara Falls International,43.1073749,-78.9445352
"Houston, TX: George Bush Intercontinental/Houston",Houston,TX,George Bush Intercontinental/Houston,29.9902199,-95.3367827
"Brunswick, GA: Brunswick Golden Isles",Brunswick,GA,Brunswick Golden Isles,,
"Aguadilla, PR: Rafael Hernandez",Aguadilla,PR,Rafael Hernandez,-34.5499582,-58.4505497
"San Jose, CA: Norman Y. Mineta San Jose International",San Jose,CA,Norman Y. Mineta San Jose International,,
"Manchester, NH: Manchester-Boston Regional",Manchester,NH,Manchester-Boston Regional,42.929687,-71.4352177
"Portland, ME: Portland International Jetport",Portland,ME,Portland International Jetport,43.6464785,-70.3096974
"Brainerd, MN: Brainerd Lakes Regional",Brainerd,MN,Brainerd Lakes Regional,46.3930459,-94.1412635
"Daytona Beach, FL: Daytona Beach International",Daytona Beach,FL,Daytona Beach International,29.1848845,-81.0606916
"Wichita, KS: Wichita Dwight D Eisenhower National",Wichita,KS,Wichita Dwight D Eisenhower National,37.6508529,-97.4286988
"Detroit, MI: Detroit Metro Wayne County",Detroit,MI,Detroit Metro Wayne County,42.2161722,-83.3553842
"Idaho Falls, ID: Idaho Falls Regional",Idaho Falls,ID,Idaho Falls Regional,43.51511,-112.06788
"Punta Gorda, FL: Punta Gorda Airport",Punta Gorda,FL,Punta Gorda Airport,26.9162084,-81.9977777
"Dallas, TX: Dallas Love Field",Dallas,TX,Dallas Love Field,32.8481029,-96.8512063
"Trenton, NJ: Trenton Mercer",Trenton,NJ,Trenton Mercer,40.277031,-74.8180489
"Bellingham, WA: Bellingham International",Bellingham,WA,Bellingham International,48.7955792,-122.5330551
"Saipan, TT: Francisco C. Ada Saipan International",Saipan,TT,Francisco C. Ada Saipan International,15.1197429,145.7282789
"Sioux Falls, SD: Joe Foss Field",Sioux Falls,SD,Joe Foss Field,43.580268,-96.731188
